"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"129",NA,"Yes","2023-02-10","10:30:00","2023-02-10","10:45:00",15,"Code,R Studio",NA,2023-02-10 10:30:00,2023-02-10 10:45:00,"AI / Deep Learning"
"130",NA,"Yes","2023-02-10","10:30:00","2023-02-10","10:45:00",15,"Code,R Studio",NA,2023-02-10 10:30:00,2023-02-10 10:45:00,"Data Explore/Visualisation"
"131",NA,"Yes","2023-02-10","10:45:00","2023-02-10","11:00:00",15,"Admin",NA,2023-02-10 10:45:00,2023-02-10 11:00:00,"Proj Manage"
"132",NA,"Yes","2023-02-10","11:30:00","2023-02-10","12:00:00",30,"Admin",NA,2023-02-10 11:30:00,2023-02-10 12:00:00,"Proj Manage"
"133",NA,"Yes","2023-02-10","12:45:00","2023-02-10","13:00:00",15,"Emails",NA,2023-02-10 12:45:00,2023-02-10 13:00:00,"Prod Manage"
"134",NA,"Yes","2023-02-10","13:00:00","2023-02-10","13:45:00",45,"Meetings,Supervision",NA,2023-02-10 13:00:00,2023-02-10 13:45:00,"Prod Manage"
"135",NA,"Yes","2023-02-10","13:00:00","2023-02-10","13:45:00",45,"Meetings,Supervision",NA,2023-02-10 13:00:00,2023-02-10 13:45:00,"Sci Writing"
"136",NA,"Yes","2023-02-13","07:30:00","2023-02-13","08:00:00",30,"Admin,Emails",NA,2023-02-13 07:30:00,2023-02-13 08:00:00,"Proj Manage"
"137",NA,"Yes","2023-02-13","07:30:00","2023-02-13","08:00:00",30,"Admin,Emails",NA,2023-02-13 07:30:00,2023-02-13 08:00:00,"Prod Manage"
"138",NA,"Yes","2023-02-13","08:00:00","2023-02-13","09:00:00",60,"Meetings,Project Management",NA,2023-02-13 08:00:00,2023-02-13 09:00:00,"Prod Manage"
"139",NA,"Yes","2023-02-13","08:00:00","2023-02-13","09:00:00",60,"Meetings,Project Management",NA,2023-02-13 08:00:00,2023-02-13 09:00:00,"Proj Manage"
